City,DealerName,LocatorLatitude,LocatorLongitude,Phone,PostalAddress,State,Website,ZipCode
Eureka,Heinold Heating and Air,40.7102,-89.2520999999999,309-938-4147,517 W Center St,IL,http://heinoldheating.com,61530
Chillicothe,"G.P. Systems, Inc.",40.915,-89.5303,309-822-4525,2020 Wilkens Dr,IL,,61523
Morton,Garber Heating and Air Conditioning,40.615,-89.4441,309-641-0809,310 Detroit Ave,IL,http://www.garberheating.com,61550
Pekin,Covenant Htg &amp;amp; A/C,40.5452,-89.6010999999999,309-733-4911,2209 Broadway St,IL,,61554
Chillicothe,Gills Refrigeration and Heating,40.915,-89.5303,309-270-2237,PO Box 637,IL,,61523
Bloomington,ProAir Heating &amp;amp; A/C,40.4795,-88.9859999999998,309-807-9635,2701 S Main St,IL,http://www.proairhvac.com,61704
Fairbury,"Steidinger Brothers, Inc.",40.7318,-88.524,309-377-5872,124 E Locust St,IL,,61739
Urbana,A and R Mechanical Contracting Inc,40.1093,-88.2119000000002,217-903-5994,711 E Kettering Park Dr,IL,,61801
Champaign,Freds Plumbing &amp;amp; Heating,40.1312,-88.3130999999998,217-903-4893,5018 Chestnut Grove Dr,IL,,61822
Bloomington,U.S. Mechanical Services Inc.,40.6062,-88.9854999999998,309-434-5263,PO Box 1571,IL,,61702
Champaign,Lanz Heating &amp;amp; Cooling,40.1312,-88.3130999999998,217-903-2660,2718 Hundman,IL,,61822
Fairbury,EDELMAN ELECTRIC INC.,40.7318,-88.524,815-844-8716,19440 E 600 North Rd,IL,,61739
Saint Louis,Murphy Company,38.6762,-90.3790000000003,314-637-9316,1233 N Price Rd,MO,,63132
Wapella,JKE  HVAC,40.2483,-88.9749999999997,217-731-4903,100 S Locust St,IL,,61777
Jerseyville,Updike&amp;#39;s Jerseyville Gas,39.1259,-90.3475000000002,618-494-6372,613 Maple Street,IL,,62052-2251
Gifford,Duden and Silver Inc,40.309,-88.0362999999998,217-568-6077,103 N Main St,IL,,61847
Tilton,Blackie&amp;#39;s Automatic Engineering,40.0961,-87.6518000000002,217-703-4725,1639 Tilton Rd,IL,http://www.blackies.com,61833
Danville,Clawson Heating and Air Conditioning,40.1365,-87.6307000000003,217-703-1929,814 Warrington Ave,IL,,61832
Tuscola,"All Pro Heating, A/C, Plbg",39.8153,-88.2838,217-253-8166,65 Cherry Dr,IL,,61953
Knightsville,Carbon Heating &amp;amp; AC,39.5298,-87.0985999999998,812-420-1286,9727 N. Crawford Street,IN,,47857
Arcola,Lynn Kauffman Plbg,39.7026,-88.2863,217-728-1119,6187 E CR 1830 North,IL,,61910
Savoy,Reliable Plumbing &amp;amp; Heating,40.0399,-88.2642999999999,217-903-4887,109 E Curtis Rd,IL,,61874
Greencastle,Twin C Inc. - Daves Htg. &amp;amp; Cooling,39.6767,-86.9214,765-276-0519,124 N Jackson St,IN,,46135
Belleville,BELOMAN,38.5251,-90.0795999999998,618-509-4654,5909 Cool Sports Rd,IL,http://www.beloman.com,62223
Wood River,American Air,38.8622,-90.0969,618-717-3418,191 N Old Saint Louis Rd,IL,,62095
Litchfield,Snell Plumbing Heating and Air Conditioning,39.1865,-89.6789999999997,618-356-4275,220 E Union Ave,IL,http://www.snellhvac.com,62056
Carlinville,Area Heating and Air Conditioning,39.2714,-89.9463000000003,618-370-3811,222 1/2 W 2nd South St,IL,http://www.areaheating.net,62626
Hazelwood,Air Comfort Service Inc.,38.7849,-90.3852000000001,314-643-9645,11920 Missouri Bottom Rd,MO,http://www.aircomfortservice.com,63042
O Fallon,Absolute Comfort Systems,38.8319,-90.7187999999999,636-614-4307,1084 Cool Springs Industrial Dr,MO,http://www.absolutecomfortsystems.net,63366
Taylorville,Blakley Heating Cooling and Plumbing,39.5521,-89.3216000000002,217-646-0275,700 E Market St,IL,http://www.blakleyhcp.com,62568
Saint Louis,Classic Aire Care,38.6762,-90.3790000000003,314-637-9231,10466 Baur Blvd,MO,,63132
Granite City,McFarland Indoor Comfort Svcs,38.7259,-90.0982000000003,618-215-5175,4008 Braden Ave,IL,http://www.mcfarlandindoorcomfortservices.com,62040
O Fallon,Bel-O Cooling and Heating,38.6074,-89.8929,618-589-4571,90 Whitehall Dr,IL,http://www.belocooling.com,62269
Breese,R and B Plumbing Heating and Air Conditioning Inc,38.6297,-89.5228,618-248-3562,141 N Clinton St,IL,http://www.hometownbusinessnetwork.com/rbplumbing,62230
Steeleville,Williams Heating and Air,37.9878,-89.6781000000002,618-965-8492,502 W Shawnee Town Trl,IL,http://www.williamshtgandair.com,62288
Carterville,RSP Heating &amp;amp; Cooling,37.7927,-89.0996999999999,618-988-0463,6951 E Grand Rd,IL,,62918
Crystal City,Crystal Heating And Cooling,38.2311,-90.3780000000003,636-548-0475,#3 Cave Industrial Dr.,MO,http://www.crystalheating.com,63019
Quincy,Peters Heating &amp;amp; Air Conditioning,39.9302,-91.3034999999999,217-919-9821,4520 Broadway St,IL,http://www.petersheatingandair.com,62305
Hannibal,Peters Heating &amp;amp; Air Conditioning,39.7145,-91.4208999999998,573-629-1140,4560 Paris Gravel Rd,MO,http://www.petersheatingandair.com,63401
Pittsfield,Peters Heating and Air Conditioning,39.5728,-90.8034000000001,217-922-0146,1401 W Washington St,IL,http://www.petersheatingandair.com,62363
Jacksonville,Brennan Heating and Air Conditioning,39.7413,-90.2138,217-408-0698,619 E Morton Ave,IL,http://www.brennansheetmetal.com,62650
Monroe City,Perry&amp;#39;s Heating &amp;amp; Air Conditioning LLC,38.5814,-87.3538999999997,812-316-1031,303 Breckenridge,IN,,47557
Palestine,Crawford Electric Heating and Air Conditioning Inc,39.0088,-87.6215999999998,618-421-4234,201 E Harrison St,IL,http://www.crawfordelectricheatac.com,62451
Vandalia,Stombaugh Heating and Air Conditioning,38.8752,-89.1076,618-699-4464,329 S 1st St,IL,http://www.stombaughs.com,62471
Shelbyville,Macari Service Center,39.3979,-88.8109999999998,217-728-1252,North Route 128,IL,http://www.macarisservicecenter.com,62565
Vincennes,Wabash Plumbing Inc.,38.6298,-87.5041999999999,812-316-1222,921 Main St,IN,,47591
Mount Carmel,SHARP &amp;amp; WILLIAMS HEATING &amp;amp; A/C,38.4145,-87.8637999999998,618-263-9131,202 W 9th St,IL,,62863
Lawrenceville,B and E Heating and Cooling Inc,38.7501,-87.6140999999998,618-707-4170,1505 12th Street,IL,,62439
Albion,Complete Heating and Air Conditioning,38.3535,-88.0850000000003,618-445-8245,210 E Elm St,IL,http://www.completehvac.org,62806
Noble,"Dan&amp;#39;s Electric Shop, LLC",38.7177,-88.2111999999999,618-388-3501,152 E North Ave,IL,,62868
Decatur,Design Air Heating and Air Conditioning,39.8055,-88.9127999999997,217-615-3739,1201 N 19th St,IL,http://www.designairhvac.com,62521
Springfield,Henson Robinson Co,39.7509,-89.7003999999999,217-953-4897,3550 Great Northern,IL,http://www.henson-robinson.com,62711
Virden,Snell Plumbing Heating and Air Conditioning,39.5001,-89.8146999999999,217-916-4356,617 S Springfield St,IL,http://www.snellhvac.com,62690
Havana,Zellers Heating and Air Conditioning,40.2774,-90.0095000000002,217-883-4697,12646 Sr 78,IL,,62644
Mason City,Hernan Plumbing and Heating,40.1812,-89.7163000000001,217-984-4111,131 N Tonica St,IL,,62664
Poseyville,Beuligmanns Heating and Air Conditioning,38.1775,-87.8268000000002,812-682-0987,5901 Highway 68,IN,,47633
West Frankfort,Darnell Heating and Cooling,37.9074,-88.9501000000001,618-937-8099,701 S Logan St,IL,http://www.darnellac.com,62896
Salem,Booher Tin Shop,38.6321,-88.9356999999999,618-740-4287,701 S Broadway Ave,IL,http://booherstinshop.com/,62881
Mount Vernon,HOLLOWAY HEATING,38.3147,-88.9065000000001,618-241-0183,1001 Shawnee St,IL,,62864
Jackson,Dutch Enterprises,37.4001,-89.6167999999998,573-755-0250,4832 Old Cape Rd E,MO,,63755
Simpson,Botarf HVAC,37.4681,-88.7651000000001,618-996-5116,235 Richmond Rd,IL,,62985
COBDEN,FLAMM HEATING,37.5518,-89.2238000000002,618-614-5296,319 N WALKER ST,IL,,62920
Vienna,PIPE IT RIGHT PLUMBING &amp;amp; HVAC,37.4222,-88.8823000000002,618-657-7226,PO Box 652,IL,http://www.pipeitright.com,62995
Marion,PONDER SERVICE INC,37.7041,-88.9226,618-364-4739,15041 Calico Rd,IL,http://www.ponderservice.com,62959
Murphysboro,Voss Heating &amp;amp; A/C,37.776,-89.3233999999998,618-565-0690,724 N 17th St,IL,http://www.vossheating.com,62966
Paducah,Fiers Heating and Air Conditioning,37.0331,-88.716,270-908-0732,869 N HC Mathis Dr,KY,,42001
Lake Zurich,Martin Enterprises Heating &amp;amp; Air Conditioning,42.201,-88.0504000000003,224-286-6230,56 E Main St,IL,http://www.martinenterprisesheatingandac.com,60047
Arlington Heights,"ABC Plumbing, Heating &amp;amp; Cooling",42.1121,-87.9793000000002,224-434-0294,220 W Campus Dr,IL,http://www.4abc.com,60004
Palatine,Allied Air Conditioning &amp;amp; Heating Corp.,42.1476,-88.0367999999998,224-801-5672,500 E Northwest Hwy,IL,http://www.alliedairheat.com,60074
Wheeling,"Air Blue Heating &amp;amp; Cooling, Inc",42.1311,-87.9211000000002,224-434-0484,551 N Wolf Rd,IL,http://airblueinc.com/,60090
Itasca,Indoor Comfort,41.9751,-88.0186,630-634-0885,1501 Industrial Dr,IL,,60143
Lake Zurich,Markgraf&amp;#39;s Htg &amp;amp; Air,42.201,-88.0504000000003,224-286-4915,785 Oakwood Suite E 106,IL,,60047
Schaumburg,Direct Mechanical Inc,42.0114,-88.0938,224-231-0708,711 Morse Ave,IL,,60193
Crystal Lake,Official Htg &amp;amp; Clg,42.2766,-88.3099999999999,815-322-1338,5214 S IL Route 31,IL,,60012
Fox River Grove,Master Tech,42.1928,-88.2236999999999,224-412-8248,204 Northwest Hwy,IL,,60021
River Grove,Goodberlet Home Services - North,41.925,-87.8385000000001,708-695-8382,8527 W Grand Ave,IL,,60171
Northbrook,AA Service Co. Heating &amp;amp; Cooling,42.1255,-87.8405999999999,224-661-0450,550 Anthony Trl,IL,,60062
Glenview,R.H. Witt Heating &amp;amp; Sheet Metal,42.0783,-87.8241999999998,224-661-0740,2049 Johns Dr,IL,,60025
Morton Grove,Skokie Valley Air Control,42.0422,-87.7889999999999,224-534-9948,6310 Lincoln Ave,IL,,60053
Glenview,North Shore Heating,42.0783,-87.8241999999998,224-521-0725,2015 Johns Dr,IL,,60025
Gurnee,Herchenbach Mechanical,42.3764,-87.9423999999999,224-475-4217,7698 Washington St,IL,http://www.herchenbach.com,60031
Lake Bluff,Superior Sheet Metal and Heating Inc,42.2868,-87.8639000000002,224-544-9548,28814 Nagel Ct,IL,http://www.superiorsmh.com,60044
Antioch,Antioch Heating &amp;amp; Cooling,42.4721,-88.0521999999999,224-225-4318,301 Main St  #203,IL,,60002
Chicago,Hollub Heating,41.8744,-87.6514000000001,872-225-3222,1041 W Jackson Blvd,IL,,60607
Des Plaines,Perfect Temperature Control,42.004,-87.8953999999998,224-244-6657,74 Bradrock Dr,IL,,60018
Skokie,R.A. Shavitz Heating &amp;amp; Air Conditioning,42.0345,-87.7578,224-442-4392,4849 Main St,IL,,60077
Palatine,Crne&amp;#39;s Environmental Control,42.1096,-88.0556000000001,224-412-8629,1 E Northwest Hwy Ste 207,IL,http://www.crnes.com/,60067
Norridge,Al Air Heating &amp;amp; Cooling,41.9637,-87.8165,708-695-8446,7703 W Lawrence Ave,IL,http://www.alairinc.com,60706
Chicago,Guardian Htg &amp;amp; Clg Serv Inc,41.9466,-87.7027,708-669-4133,3916 N Central Park Ave,IL,,60618
Highland Park,Ravinia Plumbing &amp;amp; Heating,42.1809,-87.8100999999998,224-765-4070,1580 Old Skokie Rd,IL,http://www.raviniaplumbing.com,60035
Crystal Lake,Official Heating &amp;amp; Cooling,42.2766,-88.3099999999999,815-669-5670,5214 S IL Route 31,IL,,60012
Woodstock,Jensens Plumbing and Heating,42.3247,-88.4593,815-345-3099,670 E Calhoun St,IL,,60098
Batavia,State Automatic Heating &amp;amp; Cooling,41.8433,-88.3449000000001,630-326-4191,1335 Paramount Pkwy,IL,http://www.stateautomatic.com,60510
South Elgin,Elgin Sheet Metal Co.,41.9935,-88.2769999999998,224-276-6675,695 Schneider Dr,IL,http://elginsheetmetalco.com/,60177
Wheaton,"Mel-O-Air Heating &amp;amp; A/C, Inc",41.8546,-88.1159999999998,630-923-8033,620 Childs St,IL,,60187
Schaumburg,Rays &amp;#39;The Original&amp;#39; Heating &amp;amp; Air Conditioning,42.0114,-88.0938,847-278-0701,1913 Wright Blvd,IL,http://www.rayshvac.com,60193
Countryside,Heat Engineering Company,41.7814,-87.8716999999999,708-505-9137,6500 Joliet Rd,IL,http://heatengineering.com/,60525
Westmont,Berwyn Western,41.7959,-87.9750999999998,708-797-3316,804 Burr Oak Dr,IL,http://www.berwynwestern.com,60559
Westchester,Pauls Heating &amp;amp; Cooling,41.8523,-87.8855000000002,708-401-7937,10004 W Cermak Rd,IL,,60154
Frankfort,King HVAC,41.4748,-87.8350999999999,708-897-2460,101 Ontario St,IL,http://www.thekinghvac.com,60423
Alsip,Amber Heating &amp;amp; Air Conditioning,41.6719,-87.7293999999998,708-897-2446,11950 S Central Ave,IL,http://amberheatingandair.com/,60803
Monee,JTR Heating &amp;amp; Air,41.4121,-87.7808000000001,708-258-5214,25830 S Governors Hwy,IL,http://www.jtrenergy.com,60449
Frankfort,Artisan Heating &amp;amp; Cooling,41.4748,-87.8350999999999,779-324-2855,101 Ontario St,IL,http://www.artisanhvac.com,60423
Crestwood,Builders Heating Inc,41.6258999999996,-87.7189000000026,708-629-6680,4633 138th St,IL,,60445
Kankakee,Goodberlet Home Services,41.1223,-87.9467000000002,779-701-0164,"2102, 255 E. Brookmont Blvd",IL,,60901
Crestwood,Dykstra Home Services,41.6258999999996,-87.7189000000026,888-552-5484,13450 Cicero Ave,IL,http://dykstrahomeservices.com,60445
Oak Lawn,"Chicagoland Heating &amp;amp; Air Conditioning, Inc.",41.7129,-87.7521000000002,708-572-0599,4505 Southwest Hwy,IL,http://www.chicagolandheatingandac.com,60453
McNabb,Grassers Plumbing &amp;amp; Heating,41.1679000000015,-89.218700000002,815-869-4854,PO Box 8,IL,,61335
Chicago,Wantuck Comfort Solutions,41.8105,-87.7117,872-253-9211,4801 S Knox,IL,http://www.wantuck.net,60632
Naperville,Energy Services Air Conditioning &amp;amp; Heating Co.,41.8008,-88.1650999999999,331-305-5227,512 W 5th Ave,IL,http://www.energyserv.com,60563
Westmont,Hearthstone Heating and Air Conditioning,41.7959,-87.9750999999998,331-625-1572,105 W 61st St,IL,http://www.hearthstoneheating.com/,60559
Aurora,"Artlip &amp;amp; Sons, Inc.",41.7601,-88.2901000000003,331-205-7760,230 S Broadway,IL,,60505
Downers Grove,"Fire N Ice Heating &amp;amp; Cooling, Inc.",41.8086,-88.0231,331-481-6248,2455 Wisconsin Ave,IL,http://www.firenicehvac.com,60515
Mendota,Walter Brothers Plumbing and Heating,41.5443,-89.0791,815-615-9217,909 Washington St,IL,,61342
Aurora,Buchner Heating &amp;amp; Air Conditioning Inc,41.7654,-88.3771999999999,630-277-9953,2116 W Galena Blvd,IL,,60506
Rochelle,C and C Plumbing Heating and Cooling Inc,41.9424,-89.0653000000002,815-561-4337,1300 N 7th St,IL,,61068
Oswego,Modern Air Solutions Inc,41.6565,-88.3159999999999,847-969-5079,195 Kendall Point Dr,IL,,60543
Oswego,"RJ Kuhn Plumbing Heating &amp;amp; Cooling, Inc",41.6565,-88.3159999999999,331-725-7650,585 State Route 31,IL,,60543
Saint Charles,MILLER&amp;#39;S TOTAL COMFORT INC,41.9502,-88.3890000000001,331-222-3993,6N150 Far View Ct,IL,,60175
Hampshire,Hampshire Htg &amp;amp; Clg,42.0764,-88.5255,224-777-0651,823 Bailey Ln,IL,http://www.hampshirehvac.com,60140
Minooka,Comfort First Htg &amp;amp; Clg Inc,41.4851,-88.3207000000002,815-255-3277,110 Industrial Drive,IL,,60447
Chicago,Deljo Heating &amp;amp; Cooling,41.9209,-87.7020000000002,872-210-2659,2700 N Campbell Ave,IL,http://www.deljoheating.com,60647
Paxton,Houston Plumbing Heating,40.4439,-88.1373000000001,217-396-3063,111 N Market St,IL,http://houstonsplumbing.com,60957
Kankakee,"Hinrich, Inc.",41.1223,-87.9467000000002,779-701-0161,795 N Kennedy Dr,IL,http://www.hinrich.com,60901
Freeport,Loescher Heating,42.3106,-89.6326999999999,815-656-4625,1860 S Walnut Rd,IL,,61032
Monticello,Advanced HVAC Inc,42.7387,-89.6194000000002,608-291-4991,PO Box 3,WI,,53570
Morrison,Workman Heating &amp;amp; Cooling,41.8285,-89.9656,815-564-2114,15825 Lincoln Rd,IL,,61270
Rockford,Rockford Heating and Air Conditioning Inc,42.2509,-89.0792999999997,779-221-8692,1618 Magnolia St,IL,http://www.rockfordheating.com,61104
Roscoe,Accu Aire Comfort Systems,42.4315,-88.9848,815-957-4043,4686 E Rockton Rd,IL,,61073
Geneseo,Becker and Becker Inc,41.4828,-90.1801000000001,309-539-4483,101 S Chicago St,IL,,61254
Camanche,Economy Plumbing and Heating Inc,41.7772,-90.3074000000002,563-241-3789,817 7th Ave,IA,,52730
Savanna,Johnson Plumbing and Heating,42.1463,-90.1589000000003,815-402-2409,2300 Arnold St.,IL,,61074
Carmel,Williams Comfort Air,39.9701,-86.1603,317-981-7123,1077 3rd Ave SW,IN,http://www.williamscomfortair.com,46032
New Castle,Maintenance Repair Service,39.9231,-85.3444000000001,765-831-4024,66 E County Road 400 N,IN,http://www.mrssolutions.com,47362
Fishers,Star Heating &amp;amp; Cooling,39.9602,-86.0270999999998,317-643-6254,14076 Britton Park Rd,IN,http://www.starheatingcooling.biz,46038
Anderson,Reeder Heating,40.1535,-85.6387000000001,765-400-1735,2200 N Scatterfield Rd,IN,http://www.reederhvac.com,46012
Indianapolis,Howald Heating and Air Conditioning,39.8673,-86.1080000000002,317-643-6220,6542 E Westfield Blvd,IN,http://www.howaldheatingandair.com,46220
Westfield,Precision Comfort Systems Inc.,40.0482,-86.1788000000001,317-399-1556,1011 Kendall Ct,IN,,46074
Indianapolis,Irish Air Now,39.6749,-86.1316000000001,317-643-7291,36 S Main St,IN,http://www.irishairnow.com,46227
Indianapolis,Turk Heating &amp;amp; Cooling,39.7221,-86.0007000000002,317-527-0128,3440 S Post Rd,IN,,46239
Lebanon,Jones Home Services,40.0478,-86.4591,317-643-7497,870 N 400 E,IN,http://www.joneshomeservices.biz,46052
Indianapolis,Masters Heating and Cooling,39.7351,-86.0930000000001,317-743-0397,2101 S State Ave,IN,,46203
Indianapolis,FASTRACK MECHANICAL LLC-Wilshaw Apts,39.8982,-86.2335,317-762-6821,5350 W 84th St,IN,http://www.fastrackmechanical.com,46268
Indianapolis,Efficient Systems Inc.,39.7903,-86.2153000000002,317-759-7735,284 N Belmont Ave,IN,http://www.efficientsystems.net,46222
Flora,Camflo Heating and Cooling,40.5423,-86.4581,765-268-8745,908 W Columbia St,IN,,46929
Kokomo,Thermodyn Inc.,40.5251,-86.1768,765-319-8195,124 W Elm St,IN,,46901
Kokomo,Quality Plumbing &amp;amp; Heating,40.4396,-86.0891999999999,765-681-5433,1499 S Dixon Rd,IN,http://www.qph.com,46902
Nineveh,DAVE CARLILE HEATING &amp;amp; COOLING,39.3795,-86.0861999999999,812-720-4149,5959 Hidden Lake Ln,IN,,46164
Rushville,Beard Heating &amp;amp; Cooling,39.6183,-85.4163999999997,765-570-4475,126 S Harrison St,IN,,46173
Lizton,L&amp;amp;F Heating and Cooling,39.8801,-86.5403999999999,317-759-7605,10957 N SR 39,IN,,46149
Lizton,Indiana Home Comfort Solutions,39.8801,-86.5403999999999,317-520-4205,PO Box 37,IN,http://www.lindleyhvac.com,46149
Clayton,JC Hot or Not,39.6566,-86.5048999999999,317-672-0448,753 W County Road 1000 S,IN,,46118
Stilesville,Jerry Air,39.6312,-86.6171,317-983-6532,4967 Tudor Rd,IN,,46180
Franklin,Armored Heating &amp;amp; Cooling Inc.,39.4841,-86.0842999999997,317-643-5503,"190 Commerce Drive, Ste 7",IN,,46131-7215
Bloomington,Keller Heating and Air Conditioning,39.2254,-86.5993000000003,812-671-9585,318 N Rogers St,IN,http://www.kellerheating.com,47404
Franklin,Johnson Heating &amp;amp; Cooling Inc,39.4841,-86.0842999999997,317-743-0410,555 Industrial Dr,IN,,46131
Greensburg,Stier Heating &amp;amp; Cooling Inc,39.3206,-85.4768000000001,812-716-4790,902 N Lincoln St,IN,http://www.stierheating.com,47240
Hanover,Steinhardt Heating &amp;amp; Air Conditioning,38.7056,-85.4905999999997,888-511-8584,228 W Lagrange Rd,IN,http://www.steinhardtcomfort.com,47243
Greenwood,Excel Heating &amp;amp; Air Conditioning,39.6166,-86.1774999999998,317-743-0429,PO Box 7026,IN,http://www.excelheatingandcooling.com,46142
Indianapolis,Love Heating &amp;amp; A/C,39.7745,-86.1096,317-981-7094,4115 E 10th St,IN,,46201
Indianapolis,RT Moore,39.8982,-86.2335,317-982-5601,6340 La Pas Trl,IN,http://www.rtmooreservice.com,46268
Highland,Siemer Heating &amp;amp; Cooling,41.5488,-87.4590999999999,219-595-9669,2817 Highway Ave,IN,,46322
Merrillville,AAA Services,41.4814,-87.3380000000002,219-246-5174,2450 W Lincoln Hwy,IN,,46410
Schererville,Modern Heating,41.4906,-87.4618000000002,219-515-0002,137 E Joliet St,IN,http://modernheating.com,46375
Dyer,Witham Service Inc,41.463,-87.5081999999999,219-440-4032,253 Matteson St,IN,http://www.withamservice.com,46311
Crown Point,"EDCO Environmental Services, Inc.",41.4039,-87.3294000000002,219-281-6875,825 N Indiana Ave,IN,http://www.edcoenvironmentalservices.com/,46307
Portage,Seasonal Heating &amp;amp; A/C,41.5825,-87.1726000000001,219-841-6217,5705 Old Porter Rd,IN,http://seasonalheating.com/,46368
Plymouth,All Season Htg &amp;amp; Clg Inc,41.3572,-86.3281000000002,574-914-0112,4669 Michigan Rd,IN,,46563
Elkhart,Henry Smith Plumbing Heating &amp;amp; Cooling,41.6236,-85.9973999999999,574-206-4529,28586 County Road 20,IN,http://www.henrysmithphc.com/,46517
Winamac,Action Plumbing &amp;amp; Heating,41.0563,-86.6606000000001,574-946-1534,325 Northwest Street,IN,,46996
New Carlisle,Bales Mechanical,41.7062,-86.4852999999999,574-797-0993,400 E Michigan St,IN,,46552
Valparaiso,Regional Plbg Srvs Inc,41.4608,-87.0554999999998,219-386-2320,653 Axe Ave,IN,,46383
Valparaiso,Dodrill Mechanical,41.4608,-87.0554999999998,219-386-3021,551 Franklin St,IN,,46383
Osceola,Four Winds Custom Heating &amp;amp; Air Conditioning Inc.,41.6413,-86.0746999999998,574-742-1286,1503 3rd St,IN,,46561
Mishawaka,Masters Heating &amp;amp; Cooling,41.6925,-86.1457000000001,888-426-1325,1020 E Mckinley Ave,IN,https://mastersheatcool.com/,46545
Warsaw,N.E.W. Plumbing &amp;amp; Heating,41.2783,-85.872,260-215-4071,976 E Pound Dr N,IN,http://www.newpandh.com,46582
Logansport,Shideler Electric Heating,40.8028,-86.3678000000001,574-889-5184,924 16th St,IN,,46947
Goshen,Rex&amp;#39;s Heating,41.5881,-85.8387000000002,574-830-8587,204 1/2 Johnston St,IN,,46528
Columbia City,Van Contracting,41.1479,-85.4772000000002,260-213-4254,380 Towerview Dr,IN,,46725
Niles,Michiana Heating and Air Conditioning,41.8406,-86.2139000000001,269-697-1013,2439 S. 11th St,MI,http://www.michianahvac.com,49120
Fort Wayne,Masters Heating and Cooling,41.0989,-85.1756999999998,260-338-8651,3512 Cavalier Dr,IN,,46808
New Haven,Korte Does It All,41.0925,-84.9712000000003,260-305-0608,10920 Stellhorn Rd,IN,http://www.kortedoesitall.com,46774
Fort Wayne,Fire and Ice Heating/Cooling,41.1037,-85.0583999999997,260-702-9215,1928 Inwood Dr,IN,http://www.fireandicehvac.net,46815
Fort Wayne,MJM Mechanical,41.1533,-85.1241000000003,260-702-9257,921 E Dupont Rd,IN,,46825
Angola,Armstrong&amp;#39;s Heating &amp;amp; Air,41.6594,-85.0055,260-243-5520,304 Calvary Ln,IN,,46703
Berne,Liechty Brothers Inc,40.6587,-84.8982,260-589-6650,251 E Water St,IN,,46711
Bluffton,Uniondale Plumbing Heating &amp;amp; Electric,40.7175,-85.1549,260-236-4571,2095 Commerce Dr,IN,,46714
Bluffton,Bluffton Plumbing Heating and Electric,40.7175,-85.1549,765-392-4134,2095 Commerce Dr,IN,,46714-9288
Peru,BOWMAN HEATING &amp;amp; COOLING,40.7095,-86.0400999999998,765-460-2140,318 E Main St,IN,,46970
Lafayette,Lafayette Heating &amp;amp; Cooling,40.4307,-86.8751000000002,765-588-5045,525 N 13th St,IN,http://www.lafayetteheating.com,47904
Wabash,Manns Heating and Cooling,40.7414,-85.8425999999997,260-225-4871,1385 N Count Road 15,IN,,46992
Huntington,Fire and Ice Heating/Cooling Huntington,40.9238,-85.5000999999998,260-366-6358,905 W Park Dr,IN,,46750
Bennington,Verns Heating and Cooling,38.8729,-85.0783999999998,812-308-1282,7923 Bradford Rd,IN,,47011
Batesville,Gehrings Electric Heating and Air Conditioning,39.3079,-85.2176999999999,812-717-2855,316 N Main St,IN,,47006
New Albany,Elite Heating &amp;amp; Air Conditioning Inc.,38.2909,-85.8472000000002,812-670-5422,555 Mount Tabor Rd,IN,http://www.eliteheatingandair.com,47150
Louisville,Robbins Heating and Air Conditioning,38.1779,-85.7205999999999,502-709-6404,4015 Contractors Ct,KY,http://www.robbinshvac.com,40213
Otisco,Airtech Heating and Cooling Services,38.55,-85.6568000000001,502-438-9585,520 Seatick Road,IN,,47163
Louisville,Quality Heating &amp;amp; Air LLC,38.2388,-85.7229000000002,502-694-5309,1156 Bardstown Rd,KY,,40204
Crothersville,EDMUNDSON MECHANICAL SERV INC,38.8084,-85.8627000000003,812-271-0977,2289 S US Highway 31,IN,,47229
Seymour,Reliable Comfort Inc,38.9331,-85.8760999999999,812-672-4129,1132 N Obrien St,IN,http://www.reliablecomfort.com,47274
North Vernon,Air One Heating &amp;amp; Cooling,38.9859,-85.6188999999998,812-718-2663,1790 Commercial Drive,IN,http://www.aironehvac.com,47265
Brookville,Ludwig Contracting,39.4202,-84.9754,765-328-0768,9131 US Highway 52,IN,,47012
Connersville,Connersville Heating &amp;amp; Cooling,39.645,-85.1744000000001,765-377-4757,5152 Western Ave,IN,,47331
Bedford,Daugherty HVAC,38.8737,-86.4562999999998,812-675-4600,3721 Washington Ave,IN,,47421
Switz City,Graves Plumbing Co.,39.0399,-87.0482000000001,812-512-7316,State Road 54 West,IN,http://www.gravesplumbing.net,47465
Washington,A and R Supply of Indiana,38.6427,-87.1767999999998,812-741-4741,6 Cumberland Dr,IN,http://www.aandrhomecenter.com,47501
Odon,Lengacher Mechanical,38.8205,-86.9659000000002,812-247-0071,9001 N 1300 E,IN,,47562
Tell City,Frederick Sheet Metal Inc,38.0217,-86.7098999999999,812-548-6063,614 7th St,IN,http://www.fredsm.com,47586
Boonville,Byers Heating &amp;amp; Air Conditioning Inc,38.0544,-87.2562000000002,812-641-1426,PO Box 212,IN,http://www.byersheatingair.com,47601
Jasper,Hulsman Refrigeration Inc.,38.4175,-86.9656,812-817-0767,722 N Kluemper Rd,IN,,47546
Jasper,HULSMAN REFRIGERATION,38.4175,-86.9656,812-827-2439,722 N Kluemper Rd,IN,,47546
Newburgh,BROERMAN &amp;amp; SONS INC,37.9629,-87.3632,812-518-9293,521 State St,IN,,47630
Evansville,J E Shekell Inc,38.0194,-87.5753999999999,812-618-4429,424 W Tennessee St,IN,http://www.shekell.com,47710
Evansville,Lappe Heating and Air Conditioning,37.9318,-87.6605,812-266-9590,621 N 9th Ave,IN,http://www.lappeheatingandair.com,47712
