DealerName,PostalAddress,City,State,ZipCode,Country,Phone,LocatorLatitude,LocatorLongitude,Website,Brand
Peters Heating & Air Conditioning,4560 Paris Gravel Rd,Hannibal,MO,63401,United States,573-629-1140,39.7145,-91.4208999999998,http://www.petersheatingandair.com,Carrier
Peters Heating and Air Conditioning,1401 W Washington St,Pittsfield,IL,62363,United States,217-922-0146,39.5728,-90.8034000000001,http://www.petersheatingandair.com,Carrier
Brennan Heating and Air Conditioning,619 E Morton Ave,Jacksonville,IL,62650,United States,217-408-0698,39.7413,-90.2138,http://www.brennansheetmetal.com,Carrier
Perry&s Heating & Air Conditioning LLC,303 Breckenridge,Monroe City,IN,47557,United States,812-316-1031,38.5814,-87.3538999999997,,Carrier
Crawford Electric Heating and Air Conditioning Inc,201 E Harrison St,Palestine,IL,62451,United States,618-421-4234,39.0088,-87.6215999999998,http://www.crawfordelectricheatac.com,Carrier
Stombaugh Heating and Air Conditioning,329 S 1st St,Vandalia,IL,62471,United States,618-699-4464,38.8752,-89.1076,http://www.stombaughs.com,Carrier
Macari Service Center,North Route 128,Shelbyville,IL,62565,United States,217-728-1252,39.3979,-88.8109999999998,http://www.macarisservicecenter.com,Carrier
Wabash Plumbing Inc.,921 Main St,Vincennes,IN,47591,United States,812-316-1222,38.6298,-87.5041999999999,,Carrier
SHARP & WILLIAMS HEATING & A/C,202 W 9th St,Mount Carmel,IL,62863,United States,618-263-9131,38.4145,-87.8637999999998,,Carrier
B and E Heating and Cooling Inc,1505 12th Street,Lawrenceville,IL,62439,United States,618-707-4170,38.7501,-87.6140999999998,,Carrier
Complete Heating and Air Conditioning,210 E Elm St,Albion,IL,62806,United States,618-445-8245,38.3535,-88.0850000000003,http://www.completehvac.org,Carrier
"Dan&s Electric Shop, LLC",152 E North Ave,Noble,IL,62868,United States,618-388-3501,38.7177,-88.2111999999999,,Carrier
Design Air Heating and Air Conditioning,1201 N 19th St,Decatur,IL,62521,United States,217-615-3739,39.8055,-88.9127999999997,http://www.designairhvac.com,Carrier
Henson Robinson Co,3550 Great Northern,Springfield,IL,62711,United States,217-953-4897,39.7509,-89.7003999999999,http://www.henson-robinson.com,Carrier
Snell Plumbing Heating and Air Conditioning,617 S Springfield St,Virden,IL,62690,United States,217-916-4356,39.5001,-89.8146999999999,http://www.snellhvac.com,Carrier
Zellers Heating and Air Conditioning,12646 Sr 78,Havana,IL,62644,United States,217-883-4697,40.2774,-90.0095000000002,,Carrier
Hernan Plumbing and Heating,131 N Tonica St,Mason City,IL,62664,United States,217-984-4111,40.1812,-89.7163000000001,,Carrier
Beuligmanns Heating and Air Conditioning,5901 Highway 68,Poseyville,IN,47633,United States,812-682-0987,38.1775,-87.8268000000002,,Carrier
Darnell Heating and Cooling,701 S Logan St,West Frankfort,IL,62896,United States,618-937-8099,37.9074,-88.9501000000001,http://www.darnellac.com,Carrier
Booher Tin Shop,701 S Broadway Ave,Salem,IL,62881,United States,618-740-4287,38.6321,-88.9356999999999,http://booherstinshop.com/,Carrier
HOLLOWAY HEATING,1001 Shawnee St,Mount Vernon,IL,62864,United States,618-241-0183,38.3147,-88.9065000000001,,Carrier
Dutch Enterprises,4832 Old Cape Rd E,Jackson,MO,63755,United States,573-755-0250,37.4001,-89.6167999999998,,Carrier
Botarf HVAC,235 Richmond Rd,Simpson,IL,62985,United States,618-996-5116,37.4681,-88.7651000000001,,Carrier
FLAMM HEATING,319 N WALKER ST,COBDEN,IL,62920,United States,618-614-5296,37.5518,-89.2238000000002,,Carrier
PIPE IT RIGHT PLUMBING & HVAC,PO Box 652,Vienna,IL,62995,United States,618-657-7226,37.4222,-88.8823000000002,http://www.pipeitright.com,Carrier
PONDER SERVICE INC,15041 Calico Rd,Marion,IL,62959,United States,618-364-4739,37.7041,-88.9226,http://www.ponderservice.com,Carrier
Voss Heating & A/C,724 N 17th St,Murphysboro,IL,62966,United States,618-565-0690,37.776,-89.3233999999998,http://www.vossheating.com,Carrier
Fiers Heating and Air Conditioning,869 N HC Mathis Dr,Paducah,KY,42001,United States,270-908-0732,37.0331,-88.716,,Carrier
Martin Enterprises Heating & Air Conditioning,56 E Main St,Lake Zurich,IL,60047,United States,224-286-6230,42.201,-88.0504000000003,http://www.martinenterprisesheatingandac.com,Carrier
"ABC Plumbing, Heating & Cooling",220 W Campus Dr,Arlington Heights,IL,60004,United States,224-434-0294,42.1121,-87.9793000000002,http://www.4abc.com,Carrier
Allied Air Conditioning & Heating Corp.,500 E Northwest Hwy,Palatine,IL,60074,United States,224-801-5672,42.1476,-88.0367999999998,http://www.alliedairheat.com,Carrier
"Air Blue Heating & Cooling, Inc",551 N Wolf Rd,Wheeling,IL,60090,United States,224-434-0484,42.1311,-87.9211000000002,http://airblueinc.com/,Carrier
Indoor Comfort,1501 Industrial Dr,Itasca,IL,60143,United States,630-634-0885,41.9751,-88.0186,,Carrier
Markgraf&s Htg & Air,785 Oakwood Suite E 106,Lake Zurich,IL,60047,United States,224-286-4915,42.201,-88.0504000000003,,Carrier
Direct Mechanical Inc,711 Morse Ave,Schaumburg,IL,60193,United States,224-231-0708,42.0114,-88.0938,,Carrier
Official Htg & Clg,5214 S IL Route 31,Crystal Lake,IL,60012,United States,815-322-1338,42.2766,-88.3099999999999,,Carrier
Master Tech,204 Northwest Hwy,Fox River Grove,IL,60021,United States,224-412-8248,42.1928,-88.2236999999999,,Carrier
Goodberlet Home Services - North,8527 W Grand Ave,River Grove,IL,60171,United States,708-695-8382,41.925,-87.8385000000001,,Carrier
AA Service Co. Heating & Cooling,550 Anthony Trl,Northbrook,IL,60062,United States,224-661-0450,42.1255,-87.8405999999999,,Carrier
R.H. Witt Heating & Sheet Metal,2049 Johns Dr,Glenview,IL,60025,United States,224-661-0740,42.0783,-87.8241999999998,,Carrier
Skokie Valley Air Control,6310 Lincoln Ave,Morton Grove,IL,60053,United States,224-534-9948,42.0422,-87.7889999999999,,Carrier
North Shore Heating,2015 Johns Dr,Glenview,IL,60025,United States,224-521-0725,42.0783,-87.8241999999998,,Carrier
Herchenbach Mechanical,7698 Washington St,Gurnee,IL,60031,United States,224-475-4217,42.3764,-87.9423999999999,http://www.herchenbach.com,Carrier
Superior Sheet Metal and Heating Inc,28814 Nagel Ct,Lake Bluff,IL,60044,United States,224-544-9548,42.2868,-87.8639000000002,http://www.superiorsmh.com,Carrier
Antioch Heating & Cooling,301 Main St  #203,Antioch,IL,60002,United States,224-225-4318,42.4721,-88.0521999999999,,Carrier
Hollub Heating,1041 W Jackson Blvd,Chicago,IL,60607,United States,872-225-3222,41.8744,-87.6514000000001,,Carrier
Perfect Temperature Control,74 Bradrock Dr,Des Plaines,IL,60018,United States,224-244-6657,42.004,-87.8953999999998,,Carrier
R.A. Shavitz Heating & Air Conditioning,4849 Main St,Skokie,IL,60077,United States,224-442-4392,42.0345,-87.7578,,Carrier
Crne&s Environmental Control,1 E Northwest Hwy Ste 207,Palatine,IL,60067,United States,224-412-8629,42.1096,-88.0556000000001,http://www.crnes.com/,Carrier
Al Air Heating & Cooling,7703 W Lawrence Ave,Norridge,IL,60706,United States,708-695-8446,41.9637,-87.8165,http://www.alairinc.com,Carrier
Guardian Htg & Clg Serv Inc,3916 N Central Park Ave,Chicago,IL,60618,United States,708-669-4133,41.9466,-87.7027,,Carrier
Ravinia Plumbing & Heating,1580 Old Skokie Rd,Highland Park,IL,60035,United States,224-765-4070,42.1809,-87.8100999999998,http://www.raviniaplumbing.com,Carrier
Official Heating & Cooling,5214 S IL Route 31,Crystal Lake,IL,60012,United States,815-669-5670,42.2766,-88.3099999999999,,Carrier
Jensens Plumbing and Heating,670 E Calhoun St,Woodstock,IL,60098,United States,815-345-3099,42.3247,-88.4593,,Carrier
State Automatic Heating & Cooling,1335 Paramount Pkwy,Batavia,IL,60510,United States,630-326-4191,41.8433,-88.3449000000001,http://www.stateautomatic.com,Carrier
Elgin Sheet Metal Co.,695 Schneider Dr,South Elgin,IL,60177,United States,224-276-6675,41.9935,-88.2769999999998,http://elginsheetmetalco.com/,Carrier
"Mel-O-Air Heating & A/C, Inc",620 Childs St,Wheaton,IL,60187,United States,630-923-8033,41.8546,-88.1159999999998,,Carrier
Rays &The Original& Heating & Air Conditioning,1913 Wright Blvd,Schaumburg,IL,60193,United States,847-278-0701,42.0114,-88.0938,http://www.rayshvac.com,Carrier
Heat Engineering Company,6500 Joliet Rd,Countryside,IL,60525,United States,708-505-9137,41.7814,-87.8716999999999,http://heatengineering.com/,Carrier
Berwyn Western,804 Burr Oak Dr,Westmont,IL,60559,United States,708-797-3316,41.7959,-87.9750999999998,http://www.berwynwestern.com,Carrier
Pauls Heating & Cooling,10004 W Cermak Rd,Westchester,IL,60154,United States,708-401-7937,41.8523,-87.8855000000002,,Carrier
King HVAC,101 Ontario St,Frankfort,IL,60423,United States,708-897-2460,41.4748,-87.8350999999999,http://www.thekinghvac.com,Carrier
Amber Heating & Air Conditioning,11950 S Central Ave,Alsip,IL,60803,United States,708-897-2446,41.6719,-87.7293999999998,http://amberheatingandair.com/,Carrier
JTR Heating & Air,25830 S Governors Hwy,Monee,IL,60449,United States,708-258-5214,41.4121,-87.7808000000001,http://www.jtrenergy.com,Carrier
Artisan Heating & Cooling,101 Ontario St,Frankfort,IL,60423,United States,779-324-2855,41.4748,-87.8350999999999,http://www.artisanhvac.com,Carrier
Builders Heating Inc,4633 138th St,Crestwood,IL,60445,United States,708-629-6680,41.6258999999996,-87.7189000000026,,Carrier
Goodberlet Home Services,"2102, 255 E. Brookmont Blvd",Kankakee,IL,60901,United States,779-701-0164,41.1223,-87.9467000000002,,Carrier
Dykstra Home Services,13450 Cicero Ave,Crestwood,IL,60445,United States,888-552-5484,41.6258999999996,-87.7189000000026,http://dykstrahomeservices.com,Carrier
"Chicagoland Heating & Air Conditioning, Inc.",4505 Southwest Hwy,Oak Lawn,IL,60453,United States,708-572-0599,41.7129,-87.7521000000002,http://www.chicagolandheatingandac.com,Carrier
Grassers Plumbing & Heating,PO Box 8,McNabb,IL,61335,United States,815-869-4854,41.1679000000015,-89.218700000002,,Carrier
Wantuck Comfort Solutions,4801 S Knox,Chicago,IL,60632,United States,872-253-9211,41.8105,-87.7117,http://www.wantuck.net,Carrier
Energy Services Air Conditioning & Heating Co.,512 W 5th Ave,Naperville,IL,60563,United States,331-305-5227,41.8008,-88.1650999999999,http://www.energyserv.com,Carrier
Hearthstone Heating and Air Conditioning,105 W 61st St,Westmont,IL,60559,United States,331-625-1572,41.7959,-87.9750999999998,http://www.hearthstoneheating.com/,Carrier
"Artlip & Sons, Inc.",230 S Broadway,Aurora,IL,60505,United States,331-205-7760,41.7601,-88.2901000000003,,Carrier
"Fire N Ice Heating & Cooling, Inc.",2455 Wisconsin Ave,Downers Grove,IL,60515,United States,331-481-6248,41.8086,-88.0231,http://www.firenicehvac.com,Carrier
Walter Brothers Plumbing and Heating,909 Washington St,Mendota,IL,61342,United States,815-615-9217,41.5443,-89.0791,,Carrier
Buchner Heating & Air Conditioning Inc,2116 W Galena Blvd,Aurora,IL,60506,United States,630-277-9953,41.7654,-88.3771999999999,,Carrier
C and C Plumbing Heating and Cooling Inc,1300 N 7th St,Rochelle,IL,61068,United States,815-561-4337,41.9424,-89.0653000000002,,Carrier
Modern Air Solutions Inc,195 Kendall Point Dr,Oswego,IL,60543,United States,847-969-5079,41.6565,-88.3159999999999,,Carrier
"RJ Kuhn Plumbing Heating & Cooling, Inc",585 State Route 31,Oswego,IL,60543,United States,331-725-7650,41.6565,-88.3159999999999,,Carrier
MILLER&S TOTAL COMFORT INC,6N150 Far View Ct,Saint Charles,IL,60175,United States,331-222-3993,41.9502,-88.3890000000001,,Carrier
Hampshire Htg & Clg,823 Bailey Ln,Hampshire,IL,60140,United States,224-777-0651,42.0764,-88.5255,http://www.hampshirehvac.com,Carrier
Comfort First Htg & Clg Inc,110 Industrial Drive,Minooka,IL,60447,United States,815-255-3277,41.4851,-88.3207000000002,,Carrier
Deljo Heating & Cooling,2700 N Campbell Ave,Chicago,IL,60647,United States,872-210-2659,41.9209,-87.7020000000002,http://www.deljoheating.com,Carrier
Houston Plumbing Heating,111 N Market St,Paxton,IL,60957,United States,217-396-3063,40.4439,-88.1373000000001,http://houstonsplumbing.com,Carrier
"Hinrich, Inc.",795 N Kennedy Dr,Kankakee,IL,60901,United States,779-701-0161,41.1223,-87.9467000000002,http://www.hinrich.com,Carrier
Loescher Heating,1860 S Walnut Rd,Freeport,IL,61032,United States,815-656-4625,42.3106,-89.6326999999999,,Carrier
Advanced HVAC Inc,PO Box 3,Monticello,WI,53570,United States,608-291-4991,42.7387,-89.6194000000002,,Carrier
Workman Heating & Cooling,15825 Lincoln Rd,Morrison,IL,61270,United States,815-564-2114,41.8285,-89.9656,,Carrier
Rockford Heating and Air Conditioning Inc,1618 Magnolia St,Rockford,IL,61104,United States,779-221-8692,42.2509,-89.0792999999997,http://www.rockfordheating.com,Carrier
Accu Aire Comfort Systems,4686 E Rockton Rd,Roscoe,IL,61073,United States,815-957-4043,42.4315,-88.9848,,Carrier
Becker and Becker Inc,101 S Chicago St,Geneseo,IL,61254,United States,309-539-4483,41.4828,-90.1801000000001,,Carrier
Economy Plumbing and Heating Inc,817 7th Ave,Camanche,IA,52730,United States,563-241-3789,41.7772,-90.3074000000002,,Carrier
Johnson Plumbing and Heating,2300 Arnold St.,Savanna,IL,61074,United States,815-402-2409,42.1463,-90.1589000000003,,Carrier
Williams Comfort Air,1077 3rd Ave SW,Carmel,IN,46032,United States,317-981-7123,39.9701,-86.1603,http://www.williamscomfortair.com,Carrier
Maintenance Repair Service,66 E County Road 400 N,New Castle,IN,47362,United States,765-831-4024,39.9231,-85.3444000000001,http://www.mrssolutions.com,Carrier
Star Heating & Cooling,14076 Britton Park Rd,Fishers,IN,46038,United States,317-643-6254,39.9602,-86.0270999999998,http://www.starheatingcooling.biz,Carrier
Reeder Heating,2200 N Scatterfield Rd,Anderson,IN,46012,United States,765-400-1735,40.1535,-85.6387000000001,http://www.reederhvac.com,Carrier
Howald Heating and Air Conditioning,6542 E Westfield Blvd,Indianapolis,IN,46220,United States,317-643-6220,39.8673,-86.1080000000002,http://www.howaldheatingandair.com,Carrier
Precision Comfort Systems Inc.,1011 Kendall Ct,Westfield,IN,46074,United States,317-399-1556,40.0482,-86.1788000000001,,Carrier
Irish Air Now,36 S Main St,Indianapolis,IN,46227,United States,317-643-7291,39.6749,-86.1316000000001,http://www.irishairnow.com,Carrier
Turk Heating & Cooling,3440 S Post Rd,Indianapolis,IN,46239,United States,317-527-0128,39.7221,-86.0007000000002,,Carrier
Jones Home Services,870 N 400 E,Lebanon,IN,46052,United States,317-643-7497,40.0478,-86.4591,http://www.joneshomeservices.biz,Carrier
Masters Heating and Cooling,2101 S State Ave,Indianapolis,IN,46203,United States,317-743-0397,39.7351,-86.0930000000001,,Carrier
FASTRACK MECHANICAL LLC-Wilshaw Apts,5350 W 84th St,Indianapolis,IN,46268,United States,317-762-6821,39.8982,-86.2335,http://www.fastrackmechanical.com,Carrier
Efficient Systems Inc.,284 N Belmont Ave,Indianapolis,IN,46222,United States,317-759-7735,39.7903,-86.2153000000002,http://www.efficientsystems.net,Carrier
Camflo Heating and Cooling,908 W Columbia St,Flora,IN,46929,United States,765-268-8745,40.5423,-86.4581,,Carrier
Thermodyn Inc.,124 W Elm St,Kokomo,IN,46901,United States,765-319-8195,40.5251,-86.1768,,Carrier
Quality Plumbing & Heating,1499 S Dixon Rd,Kokomo,IN,46902,United States,765-681-5433,40.4396,-86.0891999999999,http://www.qph.com,Carrier
DAVE CARLILE HEATING & COOLING,5959 Hidden Lake Ln,Nineveh,IN,46164,United States,812-720-4149,39.3795,-86.0861999999999,,Carrier
Beard Heating & Cooling,126 S Harrison St,Rushville,IN,46173,United States,765-570-4475,39.6183,-85.4163999999997,,Carrier
L&F Heating and Cooling,10957 N SR 39,Lizton,IN,46149,United States,317-759-7605,39.8801,-86.5403999999999,,Carrier
Indiana Home Comfort Solutions,PO Box 37,Lizton,IN,46149,United States,317-520-4205,39.8801,-86.5403999999999,http://www.lindleyhvac.com,Carrier
JC Hot or Not,753 W County Road 1000 S,Clayton,IN,46118,United States,317-672-0448,39.6566,-86.5048999999999,,Carrier
Jerry Air,4967 Tudor Rd,Stilesville,IN,46180,United States,317-983-6532,39.6312,-86.6171,,Carrier
Armored Heating & Cooling Inc.,"190 Commerce Drive, Ste 7",Franklin,IN,46131-7215,United States,317-643-5503,39.4841,-86.0842999999997,,Carrier
Keller Heating and Air Conditioning,318 N Rogers St,Bloomington,IN,47404,United States,812-671-9585,39.2254,-86.5993000000003,http://www.kellerheating.com,Carrier
Johnson Heating & Cooling Inc,555 Industrial Dr,Franklin,IN,46131,United States,317-743-0410,39.4841,-86.0842999999997,,Carrier
Stier Heating & Cooling Inc,902 N Lincoln St,Greensburg,IN,47240,United States,812-716-4790,39.3206,-85.4768000000001,http://www.stierheating.com,Carrier
Steinhardt Heating & Air Conditioning,228 W Lagrange Rd,Hanover,IN,47243,United States,888-511-8584,38.7056,-85.4905999999997,http://www.steinhardtcomfort.com,Carrier
Excel Heating & Air Conditioning,PO Box 7026,Greenwood,IN,46142,United States,317-743-0429,39.6166,-86.1774999999998,http://www.excelheatingandcooling.com,Carrier
Love Heating & A/C,4115 E 10th St,Indianapolis,IN,46201,United States,317-981-7094,39.7745,-86.1096,,Carrier
RT Moore,6340 La Pas Trl,Indianapolis,IN,46268,United States,317-982-5601,39.8982,-86.2335,http://www.rtmooreservice.com,Carrier
Siemer Heating & Cooling,2817 Highway Ave,Highland,IN,46322,United States,219-595-9669,41.5488,-87.4590999999999,,Carrier
AAA Services,2450 W Lincoln Hwy,Merrillville,IN,46410,United States,219-246-5174,41.4814,-87.3380000000002,,Carrier
Modern Heating,137 E Joliet St,Schererville,IN,46375,United States,219-515-0002,41.4906,-87.4618000000002,http://modernheating.com,Carrier
Witham Service Inc,253 Matteson St,Dyer,IN,46311,United States,219-440-4032,41.463,-87.5081999999999,http://www.withamservice.com,Carrier
"EDCO Environmental Services, Inc.",825 N Indiana Ave,Crown Point,IN,46307,United States,219-281-6875,41.4039,-87.3294000000002,http://www.edcoenvironmentalservices.com/,Carrier
Seasonal Heating & A/C,5705 Old Porter Rd,Portage,IN,46368,United States,219-841-6217,41.5825,-87.1726000000001,http://seasonalheating.com/,Carrier
All Season Htg & Clg Inc,4669 Michigan Rd,Plymouth,IN,46563,United States,574-914-0112,41.3572,-86.3281000000002,,Carrier
Henry Smith Plumbing Heating & Cooling,28586 County Road 20,Elkhart,IN,46517,United States,574-206-4529,41.6236,-85.9973999999999,http://www.henrysmithphc.com/,Carrier
Action Plumbing & Heating,325 Northwest Street,Winamac,IN,46996,United States,574-946-1534,41.0563,-86.6606000000001,,Carrier
Bales Mechanical,400 E Michigan St,New Carlisle,IN,46552,United States,574-797-0993,41.7062,-86.4852999999999,,Carrier
Regional Plbg Srvs Inc,653 Axe Ave,Valparaiso,IN,46383,United States,219-386-2320,41.4608,-87.0554999999998,,Carrier
Dodrill Mechanical,551 Franklin St,Valparaiso,IN,46383,United States,219-386-3021,41.4608,-87.0554999999998,,Carrier
Four Winds Custom Heating & Air Conditioning Inc.,1503 3rd St,Osceola,IN,46561,United States,574-742-1286,41.6413,-86.0746999999998,,Carrier
Masters Heating & Cooling,1020 E Mckinley Ave,Mishawaka,IN,46545,United States,888-426-1325,41.6925,-86.1457000000001,https://mastersheatcool.com/,Carrier
N.E.W. Plumbing & Heating,976 E Pound Dr N,Warsaw,IN,46582,United States,260-215-4071,41.2783,-85.872,http://www.newpandh.com,Carrier
Shideler Electric Heating,924 16th St,Logansport,IN,46947,United States,574-889-5184,40.8028,-86.3678000000001,,Carrier
Rex&s Heating,204 1/2 Johnston St,Goshen,IN,46528,United States,574-830-8587,41.5881,-85.8387000000002,,Carrier
Van Contracting,380 Towerview Dr,Columbia City,IN,46725,United States,260-213-4254,41.1479,-85.4772000000002,,Carrier
Michiana Heating and Air Conditioning,2439 S. 11th St,Niles,MI,49120,United States,269-697-1013,41.8406,-86.2139000000001,http://www.michianahvac.com,Carrier
Masters Heating and Cooling,3512 Cavalier Dr,Fort Wayne,IN,46808,United States,260-338-8651,41.0989,-85.1756999999998,,Carrier
Korte Does It All,10920 Stellhorn Rd,New Haven,IN,46774,United States,260-305-0608,41.0925,-84.9712000000003,http://www.kortedoesitall.com,Carrier
Fire and Ice Heating/Cooling,1928 Inwood Dr,Fort Wayne,IN,46815,United States,260-702-9215,41.1037,-85.0583999999997,http://www.fireandicehvac.net,Carrier
MJM Mechanical,921 E Dupont Rd,Fort Wayne,IN,46825,United States,260-702-9257,41.1533,-85.1241000000003,,Carrier
Armstrong&s Heating & Air,304 Calvary Ln,Angola,IN,46703,United States,260-243-5520,41.6594,-85.0055,,Carrier
Liechty Brothers Inc,251 E Water St,Berne,IN,46711,United States,260-589-6650,40.6587,-84.8982,,Carrier
Uniondale Plumbing Heating & Electric,2095 Commerce Dr,Bluffton,IN,46714,United States,260-236-4571,40.7175,-85.1549,,Carrier
Bluffton Plumbing Heating and Electric,2095 Commerce Dr,Bluffton,IN,46714-9288,United States,765-392-4134,40.7175,-85.1549,,Carrier
BOWMAN HEATING & COOLING,318 E Main St,Peru,IN,46970,United States,765-460-2140,40.7095,-86.0400999999998,,Carrier
Lafayette Heating & Cooling,525 N 13th St,Lafayette,IN,47904,United States,765-588-5045,40.4307,-86.8751000000002,http://www.lafayetteheating.com,Carrier
Manns Heating and Cooling,1385 N Count Road 15,Wabash,IN,46992,United States,260-225-4871,40.7414,-85.8425999999997,,Carrier
Fire and Ice Heating/Cooling Huntington,905 W Park Dr,Huntington,IN,46750,United States,260-366-6358,40.9238,-85.5000999999998,,Carrier
Verns Heating and Cooling,7923 Bradford Rd,Bennington,IN,47011,United States,812-308-1282,38.8729,-85.0783999999998,,Carrier
Gehrings Electric Heating and Air Conditioning,316 N Main St,Batesville,IN,47006,United States,812-717-2855,39.3079,-85.2176999999999,,Carrier
Elite Heating & Air Conditioning Inc.,555 Mount Tabor Rd,New Albany,IN,47150,United States,812-670-5422,38.2909,-85.8472000000002,http://www.eliteheatingandair.com,Carrier
Robbins Heating and Air Conditioning,4015 Contractors Ct,Louisville,KY,40213,United States,502-709-6404,38.1779,-85.7205999999999,http://www.robbinshvac.com,Carrier
Airtech Heating and Cooling Services,520 Seatick Road,Otisco,IN,47163,United States,502-438-9585,38.55,-85.6568000000001,,Carrier
Quality Heating & Air LLC,1156 Bardstown Rd,Louisville,KY,40204,United States,502-694-5309,38.2388,-85.7229000000002,,Carrier
EDMUNDSON MECHANICAL SERV INC,2289 S US Highway 31,Crothersville,IN,47229,United States,812-271-0977,38.8084,-85.8627000000003,,Carrier
Reliable Comfort Inc,1132 N Obrien St,Seymour,IN,47274,United States,812-672-4129,38.9331,-85.8760999999999,http://www.reliablecomfort.com,Carrier
Air One Heating & Cooling,1790 Commercial Drive,North Vernon,IN,47265,United States,812-718-2663,38.9859,-85.6188999999998,http://www.aironehvac.com,Carrier
Ludwig Contracting,9131 US Highway 52,Brookville,IN,47012,United States,765-328-0768,39.4202,-84.9754,,Carrier
Connersville Heating & Cooling,5152 Western Ave,Connersville,IN,47331,United States,765-377-4757,39.645,-85.1744000000001,,Carrier
Daugherty HVAC,3721 Washington Ave,Bedford,IN,47421,United States,812-675-4600,38.8737,-86.4562999999998,,Carrier
Graves Plumbing Co.,State Road 54 West,Switz City,IN,47465,United States,812-512-7316,39.0399,-87.0482000000001,http://www.gravesplumbing.net,Carrier
A and R Supply of Indiana,6 Cumberland Dr,Washington,IN,47501,United States,812-741-4741,38.6427,-87.1767999999998,http://www.aandrhomecenter.com,Carrier
Lengacher Mechanical,9001 N 1300 E,Odon,IN,47562,United States,812-247-0071,38.8205,-86.9659000000002,,Carrier
Frederick Sheet Metal Inc,614 7th St,Tell City,IN,47586,United States,812-548-6063,38.0217,-86.7098999999999,http://www.fredsm.com,Carrier
Byers Heating & Air Conditioning Inc,PO Box 212,Boonville,IN,47601,United States,812-641-1426,38.0544,-87.2562000000002,http://www.byersheatingair.com,Carrier
Hulsman Refrigeration Inc.,722 N Kluemper Rd,Jasper,IN,47546,United States,812-817-0767,38.4175,-86.9656,,Carrier
HULSMAN REFRIGERATION,722 N Kluemper Rd,Jasper,IN,47546,United States,812-827-2439,38.4175,-86.9656,,Carrier
BROERMAN & SONS INC,521 State St,Newburgh,IN,47630,United States,812-518-9293,37.9629,-87.3632,,Carrier
J E Shekell Inc,424 W Tennessee St,Evansville,IN,47710,United States,812-618-4429,38.0194,-87.5753999999999,http://www.shekell.com,Carrier
Lappe Heating and Air Conditioning,621 N 9th Ave,Evansville,IN,47712,United States,812-266-9590,37.9318,-87.6605,http://www.lappeheatingandair.com,Carrier
Woodard Cooling and Heating,1500 S Green St,Henderson,KY,42420,United States,270-854-0533,37.7942,-87.5186999999999,http://www.woodardcoolingandheating.com,Carrier
Nunning Htg AC & Ref.,1120 E Diamond Ave,Evansville,IN,47711,United States,812-618-4083,38.0153,-87.5342999999999,,Carrier
Jack Frost Inc.,1510 Yokel Rd,Evansville,IN,47711,United States,812-647-6634,38.0153,-87.5342999999999,http://www.jackfrostllc.com,Carrier
Schiff A/C & Heating,1315 W Columbia St,Evansville,IN,47710,United States,812-618-4170,38.0194,-87.5753999999999,,Carrier
Schmitt Refrigeration Inc.,200 S Governor St,Evansville,IN,47713,United States,812-647-6644,37.9624,-87.5581000000002,,Carrier
"Brackett Htg & A/C, Inc.",5233 Old Boonville Hwy,Evansville,IN,47715,United States,812-618-9373,37.975,-87.4783000000003,,Carrier
NUNNING HEATING & AIR,1120 E Diamond Ave,Evansville,IN,47711,United States,812-266-9599,38.0153,-87.5342999999999,,Carrier
Total Green Energy Solutions,7302 McConnell Ave,Lowell,IN,46356,United States,219-552-7144,41.2585,-87.4193000000001,http://www.grayshvac.com,Carrier
Centsible Heating & Air Conditioning,403 N Griffith Blvd,Griffith,IN,46319,United States,219-961-5307,41.5177,-87.4208000000001,http://www.centsiblehvac.com,Carrier
Champaign Heating & Air Conditioning,1710 1/2 W Hensley Rd,Champaign,IL,61822,United States,217-903-2235,40.1312,-88.3130999999998,,Carrier
A & M Heating & Cooling,513 S 4th St,Saint Joseph,MO,64501,United States,816-558-0915,39.7657,-94.8424999999999,,Carrier
Besels Inc,300 Santa Fe St,Leavenworth,KS,66048,United States,913-297-3990,39.265,-95.0475999999999,,Carrier
Cornerstone Heating & Cooling,207 S Walnut Ave,Smithton,MO,65350,United States,660-851-6470,38.6141,-93.1155999999999,,Carrier
Hays Heating & Cooling,816 Commercial St,Atchison,KS,66002,United States,913-370-7804,39.5229,-95.1427000000001,,Carrier
Heinen PHE Services Inc.,1808 Linn St,Valley Falls,KS,66088,United States,785-403-0170,39.3598,-95.4853999999998,,Carrier
Home Performance Group LLC,301 Sam Barr Drive,Kearney,MO,64060,United States,660-552-4721,39.3643,-94.3782999999998,,Carrier
Polar Aire Heating,400 S Kansas Ave,Olathe,KS,66061,United States,913-712-0872,38.8932,-94.8713000000002,,Carrier
American Home Services LLC,15780 College Blvd,Lenexa,KS,66219,United States,913-871-0506,38.9561,-94.7833999999998,,Carrier
G K Smith & Sons Inc.,1700 Industrial Park Dr,Paola,KS,66071,United States,913-259-4751,38.5578,-94.9001,,Carrier
"Polestar Plumbing, Heating and Air Conditioning",1900 East 123rd street,Olathe,KS,66061,United States,913-717-0954,38.8932,-94.8713000000002,,Carrier
A.B. May Sales and Service Co,2017 W 104th St,Leawood,KS,66206,United States,913-951-0895,38.9586,-94.6192000000001,,Carrier
Cates Service Company,14361 W 96th Ter,Lenexa,KS,66215,United States,913-717-0640,38.9562,-94.7432999999998,,Carrier
